player,teammate,wins_together
A Simple Femgirl,Boydardi,3
A Simple Femgirl,CoolNerdGames,3
A Simple Femgirl,Firefi6ht_RL,2
A Simple Femgirl,Recktals,2
A Simple Femgirl,SCATHEW XD,1
A Simple Femgirl,SpicyShinobi,2
A Simple Femgirl,bro.ro711,1
A Simple Femgirl,enjay,1
A Simple Femgirl,enzo,2
A Simple Femgirl,zoarnyrl,1
AbSpectre,Ay_Ant,6
AbSpectre,Car-.-,3
AbSpectre,Creig1013,1
AbSpectre,Deciding,2
AbSpectre,Eclipsed Frog,6
AbSpectre,EricTheHispanic,2
AbSpectre,Firefi6ht_RL,1
AbSpectre,Geo,3
AbSpectre,Groovy,3
AbSpectre,Preet,1
AbSpectre,RequitedZeus,1
AbSpectre,SpicyShinobi,3
AbSpectre,Tylanz,3
AbSpectre,chewy_chungus69,3
AiRblock8,CoolNerdGames,3
AiRblock8,enzo,3
Alpha_762,Beanzs2K,6
Alpha_762,EricTheHispanic,3
Alpha_762,Firefi6ht_RL,18
Alpha_762,MerculesMilenial,3
Alpha_762,SpicyShinobi,9
Alpha_762,chewy_chungus69,1
Alpha_762,tjdubya21,16
Ascended!,Car-.-,3
Ascended!,FBISSsosa,5
Ascended!,Goose,12
Ascended!,ItsDaaes,2
Ascended!,JCISK,2
Ascended!,Maples,18
Ascended!,Mateo,8
Ascended!,MtnDru,5
Ascended!,Nem,1
Ascended!,bass!,8
Ascended!,brokeboy,4
Ascended!,ko!,3
Ascended!,nIMBUSXNZ^^,9
Ascended!,shack house,8
Ascended!,sly,3
Ay_Ant,AbSpectre,6
Ay_Ant,Beanzs2K,6
Ay_Ant,Eclipsed Frog,3
Ay_Ant,Firefi6ht_RL,2
Ay_Ant,FriendlyFennec,11
Ay_Ant,Hedmarkers,3
Ay_Ant,Memento Mori217,2
Ay_Ant,OGYeet_,5
Ay_Ant,Preet,6
Ay_Ant,RequitedZeus,2
Ay_Ant,"Shuk""!",6
Ay_Ant,Slik,3
Ay_Ant,SpicyShinobi,5
Ay_Ant,Suduko,3
Ay_Ant,chewy_chungus69,8
Ay_Ant,enzo,4
Ay_Ant,qFoal,4
Ay_Ant,ski11acam,1
Beanzs2K,Alpha_762,6
Beanzs2K,Ay_Ant,6
Beanzs2K,EricTheHispanic,3
Beanzs2K,FriendlyFennec,4
Beanzs2K,NMTotra,3
Beanzs2K,OGYeet_,2
Beanzs2K,RequitedZeus,1
Beanzs2K,SpicyShinobi,7
Beanzs2K,TheRealDunion,6
Beanzs2K,faBBenWh  y,6
Beanzs2K,tjdubya21,6
Bloom,Car-.-,6
Bloom,Goose,6
Bloom,JCISK,3
Bloom,Maples,6
Bloom,Yoky,3
Bloom,bass!,1
Bloom,ko!,4
Bloom,nIMBUSXNZ^^,3
Bloom,shack house,3
Bloom,sly,3
Bluegy,Boydardi,3
Bluegy,Fastmadcow,3
Bluegy,enjay,3
Bluegy,zoarnyrl,3
Boydardi,A Simple Femgirl,3
Boydardi,Bluegy,3
Boydardi,Car-.-,3
Boydardi,CoolNerdGames,2
Boydardi,DeltaJRomeo_,3
Boydardi,Eclipsed Frog,2
Boydardi,FBISSsosa,4
Boydardi,Fastmadcow,6
Boydardi,FuzzoL,2
Boydardi,Goose,7
Boydardi,JCISK,1
Boydardi,Kyle$,2
Boydardi,MtnDru,6
Boydardi,SCATHEW XD,2
Boydardi,"Shuk""!",1
Boydardi,Siem,1
Boydardi,Tylanz,6
Boydardi,Yoky,2
Boydardi,enjay,3
Boydardi,nIMBUSXNZ^^,4
Boydardi,shack house,1
Boydardi,sly,2
Boydardi,x0ffe,1
Boydardi,xMoNsTeRMaRiO,1
Boydardi,zoarnyrl,4
Captain Wolfer,CoolNerdGames,3
Captain Wolfer,Deciding,3
Captain Wolfer,Eclipsed Frog,8
Captain Wolfer,EricTheHispanic,6
Captain Wolfer,FriendlyFennec,6
Captain Wolfer,Memento Mori217,3
Captain Wolfer,Preet,6
Captain Wolfer,RyanZeBlock,3
Captain Wolfer,"Shuk""!",3
Captain Wolfer,TheRealDunion,10
Captain Wolfer,chewy_chungus69,8
Captain Wolfer,enzo,16
Captain Wolfer,faBBenWh  y,2
Captain Wolfer,qFoal,3
Captain Wolfer,tjdubya21,6
Car-.-,AbSpectre,3
Car-.-,Ascended!,3
Car-.-,Bloom,6
Car-.-,Boydardi,3
Car-.-,DeltaJRomeo_,3
Car-.-,Eclipsed Frog,3
Car-.-,EricTheHispanic,4
Car-.-,FBISSsosa,3
Car-.-,Faith,3
Car-.-,Goose,6
Car-.-,ItsDaaes,3
Car-.-,JCISK,3
Car-.-,Maples,3
Car-.-,MtnDru,1
Car-.-,No_Walt,3
Car-.-,Ryan,1
Car-.-,"Shuk""!",3
Car-.-,Tylanz,3
Car-.-,nIMBUSXNZ^^,3
Car-.-,shack house,9
Car-.-,sly,7
Chow_Mitch,EricTheHispanic,2
Chow_Mitch,Firefi6ht_RL,1
Chow_Mitch,chiped.potato,2
Chow_Mitch,enjay,1
Cimino,FBISSsosa,3
Cimino,MtnDru,3
Cimino,ko!,3
Cimino,nIMBUSXNZ^^,3
CoolNerdGames,A Simple Femgirl,3
CoolNerdGames,AiRblock8,3
CoolNerdGames,Boydardi,2
CoolNerdGames,Captain Wolfer,3
CoolNerdGames,Eclipsed Frog,10
CoolNerdGames,Firefi6ht_RL,7
CoolNerdGames,MtnDru,1
CoolNerdGames,No_Walt,3
CoolNerdGames,Recktals,21
CoolNerdGames,Ryan,1
CoolNerdGames,SCATHEW XD,1
CoolNerdGames,"Shuk""!",10
CoolNerdGames,Siem,1
CoolNerdGames,Suduko,2
CoolNerdGames,TheRealDunion,3
CoolNerdGames,Trickter02,3
CoolNerdGames,brokeboy,3
CoolNerdGames,enzo,10
CoolNerdGames,faBBenWh  y,1
CoolNerdGames,ski11acam,3
CoolNerdGames,zoarnyrl,1
Creig1013,AbSpectre,1
Creig1013,EricTheHispanic,1
Deciding,AbSpectre,2
Deciding,Captain Wolfer,3
Deciding,FriendlyFennec,2
Deciding,Hedmarkers,2
Deciding,Memento Mori217,3
Deciding,OGYeet_,3
Deciding,Preet,1
Deciding,Recktals,3
Deciding,RequitedZeus,1
Deciding,Ryan,2
Deciding,TweakingOut,6
Deciding,chewy_chungus69,6
Deciding,qFoal,3
Deciding,tjdubya21,11
DeltaJRomeo_,Boydardi,3
DeltaJRomeo_,Car-.-,3
DeltaJRomeo_,Kyle$,2
DeltaJRomeo_,Nem,2
DeltaJRomeo_,TSabin.,3
DeltaJRomeo_,nIMBUSXNZ^^,3
Eclipsed Frog,AbSpectre,6
Eclipsed Frog,Ay_Ant,3
Eclipsed Frog,Boydardi,2
Eclipsed Frog,Captain Wolfer,8
Eclipsed Frog,Car-.-,3
Eclipsed Frog,CoolNerdGames,10
Eclipsed Frog,Fastmadcow,2
Eclipsed Frog,FriendlyFennec,6
Eclipsed Frog,Germ.,1
Eclipsed Frog,Recktals,6
Eclipsed Frog,Ryan,3
Eclipsed Frog,SCATHEW XD,1
Eclipsed Frog,"Shuk""!",1
Eclipsed Frog,chewy_chungus69,2
Eclipsed Frog,tjdubya21,6
EricTheHispanic,AbSpectre,2
EricTheHispanic,Alpha_762,3
EricTheHispanic,Beanzs2K,3
EricTheHispanic,Captain Wolfer,6
EricTheHispanic,Car-.-,4
EricTheHispanic,Chow_Mitch,2
EricTheHispanic,Creig1013,1
EricTheHispanic,Fastmadcow,3
EricTheHispanic,Firefi6ht_RL,14
EricTheHispanic,No_Walt,3
EricTheHispanic,OGYeet_,3
EricTheHispanic,Recktals,3
EricTheHispanic,Ryan,4
EricTheHispanic,SpicyShinobi,6
EricTheHispanic,TheRealDunion,6
EricTheHispanic,TheRyan.,3
EricTheHispanic,Yoky,6
EricTheHispanic,chiped.potato,2
EricTheHispanic,faBBenWh  y,1
EricTheHispanic,tjdubya21,3
FBISSsosa,Ascended!,5
FBISSsosa,Boydardi,4
FBISSsosa,Car-.-,3
FBISSsosa,Cimino,3
FBISSsosa,Faith,3
FBISSsosa,Fastmadcow,9
FBISSsosa,Goose,6
FBISSsosa,ItsDaaes,13
FBISSsosa,Kyle$,1
FBISSsosa,Maples,3
FBISSsosa,MtnDru,5
FBISSsosa,RyanZeBlock,3
FBISSsosa,Tylanz,1
FBISSsosa,bass!,3
FBISSsosa,nIMBUSXNZ^^,3
FBISSsosa,shack house,3
Faith,Car-.-,3
Faith,FBISSsosa,3
Faith,Mateo,2
Faith,bass!,4
Faith,ko!,3
Faith,nIMBUSXNZ^^,1
Faith,shack house,8
Fastmadcow,Bluegy,3
Fastmadcow,Boydardi,6
Fastmadcow,Eclipsed Frog,2
Fastmadcow,EricTheHispanic,3
Fastmadcow,FBISSsosa,9
Fastmadcow,Geo,3
Fastmadcow,ItsDaaes,8
Fastmadcow,JCISK,1
Fastmadcow,RyanZeBlock,6
Fastmadcow,SpicyShinobi,3
Fastmadcow,enjay,12
Fastmadcow,nIMBUSXNZ^^,2
Firefi6ht_RL,A Simple Femgirl,2
Firefi6ht_RL,AbSpectre,1
Firefi6ht_RL,Alpha_762,18
Firefi6ht_RL,Ay_Ant,2
Firefi6ht_RL,Chow_Mitch,1
Firefi6ht_RL,CoolNerdGames,7
Firefi6ht_RL,EricTheHispanic,14
Firefi6ht_RL,FriendlyFennec,5
Firefi6ht_RL,Groovy,3
Firefi6ht_RL,Hedmarkers,1
Firefi6ht_RL,Infantryboyz09,1
Firefi6ht_RL,MerculesMilenial,3
Firefi6ht_RL,MtnDru,12
Firefi6ht_RL,No_Walt,3
Firefi6ht_RL,OGYeet_,3
Firefi6ht_RL,Preet,1
Firefi6ht_RL,Recktals,7
Firefi6ht_RL,Ryan,9
Firefi6ht_RL,RyanZeBlock,2
Firefi6ht_RL,SCATHEW XD,4
Firefi6ht_RL,"Shuk""!",22
Firefi6ht_RL,Slik,3
Firefi6ht_RL,SpicyShinobi,23
Firefi6ht_RL,Suduko,3
Firefi6ht_RL,TheRealDunion,2
Firefi6ht_RL,Yoky,15
Firefi6ht_RL,bro.ro711,3
Firefi6ht_RL,chewy_chungus69,2
Firefi6ht_RL,enjay,1
Firefi6ht_RL,enzo,6
Firefi6ht_RL,faBBenWh  y,1
Firefi6ht_RL,tjdubya21,21
Firefi6ht_RL,zoarnyrl,3
FriendlyFennec,Ay_Ant,11
FriendlyFennec,Beanzs2K,4
FriendlyFennec,Captain Wolfer,6
FriendlyFennec,Deciding,2
FriendlyFennec,Eclipsed Frog,6
FriendlyFennec,Firefi6ht_RL,5
FriendlyFennec,Memento Mori217,5
FriendlyFennec,NMTotra,4
FriendlyFennec,RequitedZeus,2
FriendlyFennec,Ryan,6
FriendlyFennec,"Shuk""!",5
FriendlyFennec,SpicyShinobi,3
FriendlyFennec,TheRealDunion,6
FriendlyFennec,chewy_chungus69,2
FriendlyFennec,enzo,7
FriendlyFennec,tjdubya21,8
FuzzoL,Boydardi,2
FuzzoL,JCISK,3
FuzzoL,SCATHEW XD,1
FuzzoL,TSabin.,3
FuzzoL,Yoky,1
Geo,AbSpectre,3
Geo,Fastmadcow,3
Geo,RyanZeBlock,3
Geo,Trickter02,5
Geo,Tylanz,3
Geo,enjay,6
Geo,ko!,2
Geo,shack house,3
Germ.,Eclipsed Frog,1
Germ.,"Shuk""!",1
Goose,Ascended!,12
Goose,Bloom,6
Goose,Boydardi,7
Goose,Car-.-,6
Goose,FBISSsosa,6
Goose,Kyle$,1
Goose,Maples,11
Goose,Mateo,2
Goose,Nem,7
Goose,bass!,8
Goose,ko!,6
Goose,nIMBUSXNZ^^,4
Goose,shack house,7
Goose,sly,4
Groovy,AbSpectre,3
Groovy,Firefi6ht_RL,3
Groovy,SpicyShinobi,6
Groovy,Suduko,3
Groovy,Yoky,9
Hedmarkers,Ay_Ant,3
Hedmarkers,Deciding,2
Hedmarkers,Firefi6ht_RL,1
Hedmarkers,Preet,1
Hedmarkers,enzo,3
Hedmarkers,tjdubya21,2
IceCreamBev,Maples,1
IceCreamBev,nIMBUSXNZ^^,1
Infantryboyz09,Firefi6ht_RL,1
Infantryboyz09,Memento Mori217,2
Infantryboyz09,NMTotra,2
Infantryboyz09,OGYeet_,2
Infantryboyz09,Orange,2
Infantryboyz09,Ryan,1
Infantryboyz09,Slik,3
Infantryboyz09,chewy_chungus69,2
Infantryboyz09,tjdubya21,5
ItsDaaes,Ascended!,2
ItsDaaes,Car-.-,3
ItsDaaes,FBISSsosa,13
ItsDaaes,Fastmadcow,8
ItsDaaes,Tylanz,1
ItsDaaes,nIMBUSXNZ^^,7
JCISK,Ascended!,2
JCISK,Bloom,3
JCISK,Boydardi,1
JCISK,Car-.-,3
JCISK,Fastmadcow,1
JCISK,FuzzoL,3
JCISK,TSabin.,3
JCISK,nIMBUSXNZ^^,5
JCISK,shack house,12
JCISK,xMoNsTeRMaRiO,3
Kyle$,Boydardi,2
Kyle$,DeltaJRomeo_,2
Kyle$,FBISSsosa,1
Kyle$,Goose,1
Kyle$,Nem,2
Kyle$,ko!,3
Kyle$,nIMBUSXNZ^^,3
Maples,Ascended!,18
Maples,Bloom,6
Maples,Car-.-,3
Maples,FBISSsosa,3
Maples,Goose,11
Maples,IceCreamBev,1
Maples,Mateo,6
Maples,Nem,3
Maples,Yoky,3
Maples,brokeboy,2
Maples,nIMBUSXNZ^^,6
Maples,shack house,5
Maples,sly,2
Mateo,Ascended!,8
Mateo,Faith,2
Mateo,Goose,2
Mateo,Maples,6
Mateo,TSabin.,6
Mateo,shack house,7
Mateo,sly,5
Memento Mori217,Ay_Ant,2
Memento Mori217,Captain Wolfer,3
Memento Mori217,Deciding,3
Memento Mori217,FriendlyFennec,5
Memento Mori217,Infantryboyz09,2
Memento Mori217,NMTotra,2
Memento Mori217,"Shuk""!",3
Memento Mori217,TheRealDunion,3
Memento Mori217,chewy_chungus69,4
Memento Mori217,tjdubya21,3
MerculesMilenial,Alpha_762,3
MerculesMilenial,Firefi6ht_RL,3
MerculesMilenial,OGYeet_,3
MerculesMilenial,tjdubya21,3
MtnDru,Ascended!,5
MtnDru,Boydardi,6
MtnDru,Car-.-,1
MtnDru,Cimino,3
MtnDru,CoolNerdGames,1
MtnDru,FBISSsosa,5
MtnDru,Firefi6ht_RL,12
MtnDru,SpicyShinobi,12
MtnDru,Suduko,1
