player,teammate,wins_together
MtnDru,Tylanz,6
MtnDru,Yoky,3
MtnDru,bro.ro711,3
MtnDru,ko!,3
MtnDru,sly,1
NMTotra,Beanzs2K,3
NMTotra,FriendlyFennec,4
NMTotra,Infantryboyz09,2
NMTotra,Memento Mori217,2
NMTotra,Orange,5
NMTotra,"Shuk""!",3
NMTotra,TheRealDunion,2
NMTotra,bro.ro711,5
NMTotra,chewy_chungus69,2
NMTotra,faBBenWh  y,3
NMTotra,qFoal,3
Nem,Ascended!,1
Nem,DeltaJRomeo_,2
Nem,Goose,7
Nem,Kyle$,2
Nem,Maples,3
Nem,bass!,1
Nem,shack house,4
Nem,sly,1
No_Walt,Car-.-,3
No_Walt,CoolNerdGames,3
No_Walt,EricTheHispanic,3
No_Walt,Firefi6ht_RL,3
OGYeet_,Ay_Ant,5
OGYeet_,Beanzs2K,2
OGYeet_,Deciding,3
OGYeet_,EricTheHispanic,3
OGYeet_,Firefi6ht_RL,3
OGYeet_,Infantryboyz09,2
OGYeet_,MerculesMilenial,3
OGYeet_,Ryan,3
OGYeet_,SpicyShinobi,2
OGYeet_,qFoal,1
OGYeet_,tjdubya21,5
Orange,Infantryboyz09,2
Orange,NMTotra,5
Orange,qFoal,3
Preet,AbSpectre,1
Preet,Ay_Ant,6
Preet,Captain Wolfer,6
Preet,Deciding,1
Preet,Firefi6ht_RL,1
Preet,Hedmarkers,1
Preet,Slik,6
Preet,chewy_chungus69,6
Preet,enzo,6
Preet,qFoal,6
Recktals,A Simple Femgirl,2
Recktals,CoolNerdGames,21
Recktals,Deciding,3
Recktals,Eclipsed Frog,6
Recktals,EricTheHispanic,3
Recktals,Firefi6ht_RL,7
Recktals,Ryan,1
Recktals,"Shuk""!",6
Recktals,bro.ro711,3
Recktals,chewy_chungus69,6
Recktals,enzo,12
Recktals,ski11acam,3
Recktals,tjdubya21,3
RequitedZeus,AbSpectre,1
RequitedZeus,Ay_Ant,2
RequitedZeus,Beanzs2K,1
RequitedZeus,Deciding,1
RequitedZeus,FriendlyFennec,2
RequitedZeus,SpicyShinobi,1
RequitedZeus,qFoal,3
RequitedZeus,tjdubya21,3
Ryan,Car-.-,1
Ryan,CoolNerdGames,1
Ryan,Deciding,2
Ryan,Eclipsed Frog,3
Ryan,EricTheHispanic,4
Ryan,Firefi6ht_RL,9
Ryan,FriendlyFennec,6
Ryan,Infantryboyz09,1
Ryan,OGYeet_,3
Ryan,Recktals,1
Ryan,RyanZeBlock,5
Ryan,"Shuk""!",4
Ryan,enzo,4
Ryan,qFoal,1
Ryan,ski11acam,1
Ryan,tjdubya21,3
Ryan,zoarnyrl,1
RyanZeBlock,Captain Wolfer,3
RyanZeBlock,FBISSsosa,3
RyanZeBlock,Fastmadcow,6
RyanZeBlock,Firefi6ht_RL,2
RyanZeBlock,Geo,3
RyanZeBlock,Ryan,5
RyanZeBlock,"Shuk""!",4
RyanZeBlock,Siem,1
RyanZeBlock,enjay,6
RyanZeBlock,enzo,3
SCATHEW XD,A Simple Femgirl,1
SCATHEW XD,Boydardi,2
SCATHEW XD,CoolNerdGames,1
SCATHEW XD,Eclipsed Frog,1
SCATHEW XD,Firefi6ht_RL,4
SCATHEW XD,FuzzoL,1
SCATHEW XD,"Shuk""!",4
"Shuk""!",Ay_Ant,6
"Shuk""!",Boydardi,1
"Shuk""!",Captain Wolfer,3
"Shuk""!",Car-.-,3
"Shuk""!",CoolNerdGames,10
"Shuk""!",Eclipsed Frog,1
"Shuk""!",Firefi6ht_RL,22
"Shuk""!",FriendlyFennec,5
"Shuk""!",Germ.,1
"Shuk""!",Memento Mori217,3
"Shuk""!",NMTotra,3
"Shuk""!",Recktals,6
"Shuk""!",Ryan,4
"Shuk""!",RyanZeBlock,4
"Shuk""!",SCATHEW XD,4
"Shuk""!",Siem,5
"Shuk""!",Suduko,6
"Shuk""!",TheRealDunion,3
"Shuk""!",Tylanz,3
"Shuk""!",Ziyor,2
"Shuk""!",bro.ro711,5
"Shuk""!",enzo,6
"Shuk""!",tjdubya21,5
"Shuk""!",x0ffe,1
"Shuk""!",zoarnyrl,10
Siem,Boydardi,1
Siem,CoolNerdGames,1
Siem,RyanZeBlock,1
Siem,"Shuk""!",5
Siem,Suduko,3
Siem,Yoky,1
Siem,zoarnyrl,6
Slik,Ay_Ant,3
Slik,Firefi6ht_RL,3
Slik,Infantryboyz09,3
Slik,Preet,6
Slik,chewy_chungus69,3
Slik,qFoal,3
Slik,tjdubya21,9
SpicyShinobi,A Simple Femgirl,2
SpicyShinobi,AbSpectre,3
SpicyShinobi,Alpha_762,9
SpicyShinobi,Ay_Ant,5
SpicyShinobi,Beanzs2K,7
SpicyShinobi,EricTheHispanic,6
SpicyShinobi,Fastmadcow,3
SpicyShinobi,Firefi6ht_RL,23
SpicyShinobi,FriendlyFennec,3
SpicyShinobi,Groovy,6
SpicyShinobi,MtnDru,12
SpicyShinobi,OGYeet_,2
SpicyShinobi,RequitedZeus,1
SpicyShinobi,TheRyan.,3
SpicyShinobi,Yoky,6
SpicyShinobi,chewy_chungus69,2
SpicyShinobi,enzo,5
Suduko,Ay_Ant,3
Suduko,CoolNerdGames,2
Suduko,Firefi6ht_RL,3
Suduko,Groovy,3
Suduko,MtnDru,1
Suduko,"Shuk""!",6
Suduko,Siem,3
Suduko,Yoky,3
Suduko,faBBenWh  y,1
Suduko,zoarnyrl,3
TSabin.,DeltaJRomeo_,3
TSabin.,FuzzoL,3
TSabin.,JCISK,3
TSabin.,Mateo,6
TSabin.,Yoky,2
TSabin.,ko!,3
TSabin.,nIMBUSXNZ^^,5
TSabin.,shack house,3
TSabin.,sly,3
TSabin.,xMoNsTeRMaRiO,3
TheRealDunion,Beanzs2K,6
TheRealDunion,Captain Wolfer,10
TheRealDunion,CoolNerdGames,3
TheRealDunion,EricTheHispanic,6
TheRealDunion,Firefi6ht_RL,2
TheRealDunion,FriendlyFennec,6
TheRealDunion,Memento Mori217,3
TheRealDunion,NMTotra,2
TheRealDunion,"Shuk""!",3
TheRealDunion,chewy_chungus69,2
TheRealDunion,faBBenWh  y,3
TheRealDunion,tjdubya21,6
TheRyan.,EricTheHispanic,3
TheRyan.,SpicyShinobi,3
TheRyan.,qFoal,1
TheRyan.,ski11acam,1
Trickter02,CoolNerdGames,3
Trickter02,Geo,5
Trickter02,brokeboy,3
Trickter02,ko!,5
Trickter02,shack house,6
TweakingOut,Deciding,6
TweakingOut,tjdubya21,6
Tylanz,AbSpectre,3
Tylanz,Boydardi,6
Tylanz,Car-.-,3
Tylanz,FBISSsosa,1
Tylanz,Geo,3
Tylanz,ItsDaaes,1
Tylanz,MtnDru,6
Tylanz,"Shuk""!",3
Tylanz,Yoky,2
Tylanz,shack house,2
Yoky,Bloom,3
Yoky,Boydardi,2
Yoky,EricTheHispanic,6
Yoky,Firefi6ht_RL,15
Yoky,FuzzoL,1
Yoky,Groovy,9
Yoky,Maples,3
Yoky,MtnDru,3
Yoky,Siem,1
Yoky,SpicyShinobi,6
Yoky,Suduko,3
Yoky,TSabin.,2
Yoky,Tylanz,2
Yoky,bro.ro711,3
Yoky,enzo,3
Yoky,nIMBUSXNZ^^,2
Yoky,shack house,2
Ziyor,"Shuk""!",2
Ziyor,bro.ro711,2
bass!,Ascended!,8
bass!,Bloom,1
bass!,FBISSsosa,3
bass!,Faith,4
bass!,Goose,8
bass!,Nem,1
bass!,ko!,6
bass!,nIMBUSXNZ^^,3
bass!,shack house,4
bro.ro711,A Simple Femgirl,1
bro.ro711,Firefi6ht_RL,3
bro.ro711,MtnDru,3
bro.ro711,NMTotra,5
bro.ro711,Recktals,3
bro.ro711,"Shuk""!",5
bro.ro711,Yoky,3
bro.ro711,Ziyor,2
bro.ro711,chewy_chungus69,8
bro.ro711,dray (learning controller,3
bro.ro711,enjay,1
bro.ro711,tjdubya21,3
brokeboy,Ascended!,4
brokeboy,CoolNerdGames,3
brokeboy,Maples,2
brokeboy,Trickter02,3
brokeboy,nIMBUSXNZ^^,3
brokeboy,shack house,3
chewy_chungus69,AbSpectre,3
chewy_chungus69,Alpha_762,1
chewy_chungus69,Ay_Ant,8
chewy_chungus69,Captain Wolfer,8
chewy_chungus69,Deciding,6
chewy_chungus69,Eclipsed Frog,2
chewy_chungus69,Firefi6ht_RL,2
chewy_chungus69,FriendlyFennec,2
chewy_chungus69,Infantryboyz09,2
chewy_chungus69,Memento Mori217,4
chewy_chungus69,NMTotra,2
chewy_chungus69,Preet,6
chewy_chungus69,Recktals,6
chewy_chungus69,Slik,3
chewy_chungus69,SpicyShinobi,2
chewy_chungus69,TheRealDunion,2
chewy_chungus69,bro.ro711,8
chewy_chungus69,dray (learning controller,3
chewy_chungus69,enzo,5
chewy_chungus69,qFoal,12
chewy_chungus69,ski11acam,1
chewy_chungus69,tjdubya21,4
chiped.potato,Chow_Mitch,2
chiped.potato,EricTheHispanic,2
dray (learning controller,bro.ro711,3
dray (learning controller,chewy_chungus69,3
dray (learning controller,qFoal,1
dray (learning controller,tjdubya21,1
enjay,A Simple Femgirl,1
enjay,Bluegy,3
enjay,Boydardi,3
enjay,Chow_Mitch,1
enjay,Fastmadcow,12
enjay,Firefi6ht_RL,1
enjay,Geo,6
enjay,RyanZeBlock,6
enjay,bro.ro711,1
enzo,A Simple Femgirl,2
enzo,AiRblock8,3
enzo,Ay_Ant,4
enzo,Captain Wolfer,16
enzo,CoolNerdGames,10
enzo,Firefi6ht_RL,6
enzo,FriendlyFennec,7
enzo,Hedmarkers,3
enzo,Preet,6
enzo,Recktals,12
enzo,Ryan,4
enzo,RyanZeBlock,3
enzo,"Shuk""!",6
enzo,SpicyShinobi,5
enzo,Yoky,3
enzo,chewy_chungus69,5
enzo,faBBenWh  y,2
enzo,qFoal,1
enzo,tjdubya21,7
enzo,zoarnyrl,3
faBBenWh  y,Beanzs2K,6
faBBenWh  y,Captain Wolfer,2
faBBenWh  y,CoolNerdGames,1
faBBenWh  y,EricTheHispanic,1
faBBenWh  y,Firefi6ht_RL,1
faBBenWh  y,NMTotra,3
faBBenWh  y,Suduko,1
faBBenWh  y,TheRealDunion,3
faBBenWh  y,enzo,2
ko!,Ascended!,3
ko!,Bloom,4
ko!,Cimino,3
ko!,Faith,3
ko!,Geo,2
ko!,Goose,6
ko!,Kyle$,3
ko!,MtnDru,3
ko!,TSabin.,3
ko!,Trickter02,5
ko!,bass!,6
ko!,nIMBUSXNZ^^,8
ko!,shack house,6
ko!,xMoNsTeRMaRiO,3
nIMBUSXNZ^^,Ascended!,9
nIMBUSXNZ^^,Bloom,3
nIMBUSXNZ^^,Boydardi,4
nIMBUSXNZ^^,Car-.-,3
nIMBUSXNZ^^,Cimino,3
nIMBUSXNZ^^,DeltaJRomeo_,3
nIMBUSXNZ^^,FBISSsosa,3
nIMBUSXNZ^^,Faith,1
nIMBUSXNZ^^,Fastmadcow,2
nIMBUSXNZ^^,Goose,4
nIMBUSXNZ^^,IceCreamBev,1
nIMBUSXNZ^^,ItsDaaes,7
nIMBUSXNZ^^,JCISK,5
nIMBUSXNZ^^,Kyle$,3
nIMBUSXNZ^^,Maples,6
nIMBUSXNZ^^,TSabin.,5
nIMBUSXNZ^^,Yoky,2
nIMBUSXNZ^^,bass!,3
nIMBUSXNZ^^,brokeboy,3
nIMBUSXNZ^^,ko!,8
nIMBUSXNZ^^,shack house,6
nIMBUSXNZ^^,sly,1
nIMBUSXNZ^^,zoarnyrl,1
qFoal,Ay_Ant,4
qFoal,Captain Wolfer,3
qFoal,Deciding,3
qFoal,NMTotra,3
qFoal,OGYeet_,1
qFoal,Orange,3
qFoal,Preet,6
qFoal,RequitedZeus,3
qFoal,Ryan,1
qFoal,Slik,3
qFoal,TheRyan.,1
qFoal,chewy_chungus69,12
qFoal,dray (learning controller,1
qFoal,enzo,1
qFoal,ski11acam,2
qFoal,tjdubya21,11
shack house,Ascended!,8
shack house,Bloom,3
shack house,Boydardi,1
shack house,Car-.-,9
shack house,FBISSsosa,3
shack house,Faith,8
shack house,Geo,3
shack house,Goose,7
shack house,JCISK,12
shack house,Maples,5
shack house,Mateo,7
shack house,Nem,4
shack house,TSabin.,3
shack house,Trickter02,6
shack house,Tylanz,2
shack house,Yoky,2
shack house,bass!,4
shack house,brokeboy,3
shack house,ko!,6
shack house,nIMBUSXNZ^^,6
shack house,sly,3
shack house,xMoNsTeRMaRiO,3
ski11acam,Ay_Ant,1
ski11acam,CoolNerdGames,3
ski11acam,Recktals,3
ski11acam,Ryan,1
ski11acam,TheRyan.,1
ski11acam,chewy_chungus69,1
ski11acam,qFoal,2
sly,Ascended!,3
sly,Bloom,3
sly,Boydardi,2
sly,Car-.-,7
sly,Goose,4
sly,Maples,2
sly,Mateo,5
sly,MtnDru,1
sly,Nem,1
sly,TSabin.,3
sly,nIMBUSXNZ^^,1
sly,shack house,3
sly,xMoNsTeRMaRiO,1
tjdubya21,Alpha_762,16
tjdubya21,Beanzs2K,6
tjdubya21,Captain Wolfer,6
tjdubya21,Deciding,11
tjdubya21,Eclipsed Frog,6
tjdubya21,EricTheHispanic,3
tjdubya21,Firefi6ht_RL,21
tjdubya21,FriendlyFennec,8
tjdubya21,Hedmarkers,2
tjdubya21,Infantryboyz09,5
tjdubya21,Memento Mori217,3
tjdubya21,MerculesMilenial,3
tjdubya21,OGYeet_,5
tjdubya21,Recktals,3
tjdubya21,RequitedZeus,3
tjdubya21,Ryan,3
tjdubya21,"Shuk""!",5
tjdubya21,Slik,9
tjdubya21,TheRealDunion,6
tjdubya21,TweakingOut,6
tjdubya21,bro.ro711,3
tjdubya21,chewy_chungus69,4
tjdubya21,dray (learning controller,1
tjdubya21,enzo,7
tjdubya21,qFoal,11
x0ffe,Boydardi,1
x0ffe,"Shuk""!",1
xMoNsTeRMaRiO,Boydardi,1
xMoNsTeRMaRiO,JCISK,3
xMoNsTeRMaRiO,TSabin.,3
xMoNsTeRMaRiO,ko!,3
xMoNsTeRMaRiO,shack house,3
xMoNsTeRMaRiO,sly,1
zoarnyrl,A Simple Femgirl,1
zoarnyrl,Bluegy,3
zoarnyrl,Boydardi,4
zoarnyrl,CoolNerdGames,1
zoarnyrl,Firefi6ht_RL,3
zoarnyrl,Ryan,1
zoarnyrl,"Shuk""!",10
zoarnyrl,Siem,6
zoarnyrl,Suduko,3
zoarnyrl,enzo,3
zoarnyrl,nIMBUSXNZ^^,1
