Discord,Epic,TRN Link,League,Team,Active,Alias,Platform,platform_id,alt,alt_platform,alt_platform_id
Vecim,vecum,https://rocketleague.tracker.network/rocket-league/profile/epic/Vecum/overview,S,Team XV,Y,Vecim,steam,76561198419593415,,,
Faithhosu,Faithhosu,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198451159908/overview,S,How Do You Like Your Eggs?,Y,Faith,steam,76561198451159908,,,
barlos,Carlosg_jr,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198134937585/overview,S,The Cosmos,Y,barlos,steam,76561198134937585,,,
dead guy,almost dead guy,https://rocketleague.tracker.network/rocket-league/profile/epic/almost%20dead%20guy/overview,S,Team XV,Y,almost dead guy,epic,f0e376eab8714d169d14e9c217038e1b,,,
Mulig,Oh Okay Yeah,https://rocketleague.tracker.network/rocket-league/profile/epic/Oh%20okay%20yeah/overview,S,FarmersOnly,Y,Oh okay yeah,epic,da10b1a740954a4bb526f42eafff6362,,,
xfyshix ,xfishyx,https://rocketleague.tracker.network/rocket-league/profile/xbl/FishycoolkiD1/overview,S,How Do You Like Your Eggs?,Y,xFyshix,epic,4c64c39a2aab43359a76e2f4fe1d1a4e,,,
GOLDM00N,GOLDM00N,https://rocketleague.tracker.network/rocket-league/profile/epic/GOLDM00N/overview,S,Team XV,Y,GOLDM00N,epic,0711d22595ca4160a215c8c7824cd89f,,,
nimbus.,nIMBUSXNZ,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198955848516/mmr?playlist=11,S,High Stakes,Y,nIMBUSXNZ^^,steam,76561198955848516,,,
Flykid,Flykid-,https://rocketleague.tracker.network/rocket-league/profile/epic/Flykid-/overview,S,The Cosmos,Y,Flykid-,epic,6e24059800184b5cb08b2baa39841e19, Tier5InstaMonkey,epic,2f5aeae7f0484ac18930bd4777faef5c
GooseCowboy,Goose Cowboy,https://rocketleague.tracker.network/rocket-league/profile/epic/Goose%20Cowboy/overview,S,Funke Monke,Y,Goose Cowboy,epic,f59ba2e6bbfa4a29a166d81e74f75933,,,
Yoky,YokyRLM,https://rocketleague.tracker.network/rocket-league/profile/epic/YokyRLM/overview,S,How Do You Like Your Eggs?,Y,Yoky,steam,76561198090652388,,,
eggdip,eggdip,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198174605477/overview,S,Funke Monke,Y,How Do You Like Your Eggs?,steam,76561198174605477,,,
KeylessCreature,KeylessCreature,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198038288072/overview,S,The Cosmos,Y,Keyless.,steam,76561198038288072,,,
Bloom,Bloom.-,https://rocketleague.tracker.network/rocket-league/profile/epic/Bloom.-/overview,S,FarmersOnly,Y, Bloom ,steam,76561198978096634,,,
ondrosh,Whiffazoo,https://rocketleague.tracker.network/rocket-league/profile/epic/Whiffazoo/overview,S,FarmersOnly,Y,Whiffazoo,epic,b064a3b01c784fd6be9f9d61f025e351,,,
x0ffe,x0ffe,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198143052139/overview,S,How Do You Like Your Eggs?,Y,x0ffe,steam,76561198143052139,,,
Bro Dark,xBrotherdarkness,https://rocketleague.tracker.network/rocket-league/profile/epic/xBrotherDarkness/overview,S,High Stakes,Y,Bro Dark,steam,76561198047107194,,,
pammysilkey,FBISSsosa,https://rocketleague.tracker.network/rocket-league/profile/epic/FBISSsosa/overview,S,Funke Monke,Y,FBISSsosa,epic,dd44fe17bae8474083000a457d44d588,,,
stank94,Stank 94,https://rocketleague.tracker.network/rocket-league/profile/epic/Stank%2094/overview,S,High Stakes,Y,Stank,steam,76561198862805753,Stank 94,epic,43096b7d822a46b5bd1c0df78b0886fd
TheKingPin123789,TheKingPin123789,https://rocketleague.tracker.network/rocket-league/profile/epic/TheKingPin123789/mmr?playlist=10,A,The Cosmos,Y,TheKingPin123789,epic,36abb410f20e4144baefc999d48b6114,,,
nowalt,No_Walt,https://rocketleague.tracker.network/rocket-league/profile/epic/No_Walt/overview,S,FarmersOnly,Y,No_Walt,epic,c3115b2f5aab4f6c9e5ed1e130843481,,,
ZakWagon,ZakWagon,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198122857043/overview,S,The Cosmos,Y,ZakWagon,steam,76561198122857043,,,
shack house,gv425,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198205869723/overview,S,High Stakes,Y,Shack House,steam,76561198205869723,,,
Ryanblok8,RyanZeBlock,https://rocketleague.tracker.network/rocket-league/profile/epic/RyanZeBlock/overview,S,Team XV,Y,RyanZeBlock,epic,9483255c798c466cb6d5794a1cc9e8b2,,,
SavageGnome,SavagegnomeRL,https://rocketleague.tracker.network/rocket-league/profile/epic/SavageGnomeRL/overview,A,The Cosmos,Y,SavageGnomeRL,epic,65d79d10e993494a93b1933680d886bb,,,
lumitysomers,lumitysomers,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198167151601/overview,A,How Do You Like Your Eggs?,Y,Lumity Somers,steam,76561198167151601,,,
Cypher,Cypher,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198975557942/overview,A,Team XV,Y,Cypher,steam,76561198975557942,,,
thun.,ThoonRL,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198198331878/overview,A,How Do You Like Your Eggs?,Y, Bocchi ,steam,76561198198331878,,,
im_rob,Robシ.,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198087249907/overview,S,Funke Monke,Y,Rob,steam,76561198087249907,Im_rob,epic,740316dfc01a46ae9e3593662584b66c
Boydardi,Boydardii,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198054329313/overview,A,High Stakes,Y,Boydardi,steam,76561198054329313,,,
deltajromeo,DeltaJRomeo_,https://rocketleague.tracker.network/rocket-league/profile/epic/DeltaJRomeo_/overview,A,Funke Monke,Y,DeltaJRomeo,epic,da937e7f46a34218a2ac4b4042b43b92,,,
Smyte, 66dc1018912e4d9e9e1d01aa1a91dd09,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199029926605/overview,A,Team XV,Y,Smyte,steam,76561199029926605,,,
itsdaaes,itsdaaes,https://rocketleague.tracker.network/rocket-league/profile/epic/itsdaaes/overview,A,FarmersOnly,Y,ItsDaaes,epic,0fdd769166124fe091a0cf740944b212,,,
Micro,MCRD-,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198026465628/overview,A,Funke Monke,N,MCRD-,epic,00da4411568a4e34a787f1c73baee0e2,,,
bro.ro711,bro.ro711,https://rocketleague.tracker.network/rocket-league/profile/epic/bro.ro711/overview,A,Funke Monke,Y,bro.ro711,epic,ac621bd9a6654acaa3553afa6c9545d3,,,
stein187.,Stein ._.,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198982448769/mmr?playlist=11,A,High Stakes,Y,STEiN,steam,76561198982448769,RL -_- STEiN,epic,bce6f89e7a3f457da63532ba86c28fa6
ajrakityan,SwaggyMcDouble,https://rocketleague.tracker.network/rocket-league/profile/epic/SwaggyMcDouble/overview,A,FarmersOnly,Y,SwaggyMcDouble,steam,76561198230442968,,,
Scat,R1P TobyKeith,https://rocketleague.tracker.network/rocket-league/profile/epic/R1P%20TOBY%20KEITH/overview,A,FarmersOnly,Y,R1P TOBY KEITH,epic,581d99668a69477ba0d52f19c49033ae,,,
Chow,Chow,https://rocketleague.tracker.network/rocket-league/profile/epic/Chow_Mitch/overview,A,High Stakes,Y, Chow_Mitch,epic,bda7981301fd4711af11f6733d237bfe,,,
Mr.Rotgut,Mr.Rotgut,https://rocketleague.tracker.network/rocket-league/profile/epic/mr.rotgut/overview,A,FarmersOnly,Y,Mr.Rotgut,steam,76561198871728906,,,
uncoloredboar,Alternative GOB,https://rocketleague.tracker.network/rocket-league/profile/epic/Alternative%20GOB/overview,A,High Stakes,Y,GOB -_ ,epic,5e9af8f7d89546c3abfa851821a0336f,,,
yig_3668,PieI.-.I,https://rocketleague.tracker.network/rocket-league/profile/epic/PieI.-.I/overview,A,The Cosmos,Y,sej,steam,76561198424620914,,,
TheRyan.,TheRyan.,https://rocketleague.tracker.network/rocket-league/profile/epic/TheRyan./overview,A,The Cosmos,Y,TheRyan.,epic,c6d46be5eb8942a8aa2a64d0f891f46d,TheRyan8730,xbox,952bd0c1f8010900
Shaitan_,Traveler_Hoid,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198000271465/overview,A,Funke Monke,Y,Shai'tan,steam,76561198000271465,,,
Therealkiwa,KIWA_-7,https://rocketleague.tracker.network/rocket-league/profile/epic/KIWA_-7/overview,A,How Do You Like Your Eggs?,Y,KIWA_-7,steam,76561198979088218,,,
Thicc Salsa,Thicc Salsa,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198156560035/overview,A,Team XV,Y,Thicc Salsa,steam,76561198156560035,,,
MrCODFunable,MrCODFunable,https://rocketleague.tracker.network/rocket-league/profile/epic/MrCODFunable/overview,A,Funke Monke,Y,MrCODFunable,epic,c0bd48121a9845f1be9a71f9d444f9fa,,,
tonx.as,tonx.as,https://rocketleague.tracker.network/rocket-league/profile/epic/TonXas/overview,A,How Do You Like Your Eggs?,Y,tonx.as,steam,76561198982182586,,,
AbSpectre#6251,Abspectre,https://rocketleague.tracker.network/rocket-league/profile/epic/AbSpectre/overview,B,How Do You Like Your Eggs?,Y,AbSpectre,epic,daceee6f910f4d6a863fc5a8dc3b18d8,,,
Shintox,Shintox_,https://rocketleague.tracker.network/rocket-league/profile/epic/Shintox_/overview,B,High Stakes,Y,Shintox,steam,76561197989229126,,,
SpicyShinobi,ZestyKunoichi,https://rocketleague.tracker.network/rocket-league/profile/epic/ZestyKunoichi/overview,B,FarmersOnly,Y,SpicyShinobi,epic,7a292b6e464b4f41b5ebfaf7639214f5,,,
#skinns,mrskinns,https://rocketleague.tracker.network/rocket-league/profile/epic/MrSkinns/overview,B,Team XV,Y,MrSkinns,epic,3b79efe252b94c25be4c1c9293f7f285,,,
Road_to_bronze,Road_to_bronze_3,https://rocketleague.tracker.network/rocket-league/profile/epic/Road_to_bronze_3/overview,B,FarmersOnly,Y,Road_to_bronze_3,epic,170f14950a0a4531aeb69fba47f21270,,,
"Mercules, Sr.",RL_Millenial,https://rocketleague.tracker.network/rocket-league/profile/epic/RL_Millenial/overview,B,Team XV,Y,RL_Millenial,epic,d9d63c33bd434c8ebbad68c54db2cad7,,,
youngdaggerd,jgarate1,https://rocketleague.tracker.network/rocket-league/profile/epic/jgarate1/overview,B,Funke Monke,Y,T3 Young Dagger Dick,steam,76561198276389914,,,
Irvnation,Irvnationn.,https://rocketleague.tracker.network/rocket-league/profile/epic/IrvNationn./overview,B,How Do You Like Your Eggs?,Y,Irvnation,epic,c51e5f35ae1f40b8afbe3755f765b3f7,,,
traineekee,frankiek15,https://rocketleague.tracker.network/rocket-league/profile/epic/Bricked%20Up%20Barry/overview,B,The Cosmos,Y,Bricked Up Barry,epic,6c1d15513ae6438383d61a5fc7a9379a,,,
CamCam,CamCam4163,https://rocketleague.tracker.network/rocket-league/profile/epic/CamCam4163/overview,B,FarmersOnly,Y,CamCam4163,epic,d9f158205cdb4daa92a0236c38c23c94,,,
EricTheHispanic,EricTheHispanic,https://rocketleague.tracker.network/rocket-league/profile/epic/EricTheHispanic/overview,B,How Do You Like Your Eggs?,Y,EricTheHispanic,epic,87dc0df033734202bd8fcbb95926b672,,,
NMTotra,NMTotra,https://rocketleague.tracker.network/rocket-league/profile/epic/nmtotra/overview,B,Team XV,Y,NMTotra,epic,5ac465fd20dc40ca991172c46cea8031,,,
Yeckler,Yeckler,https://rocketleague.tracker.network/rocket-league/profile/epic/Yeckler/overview,B,Funke Monke,Y, Yeckler,epic,3756e4d8ea6c4da6978dc241f89c30ec,,,
Jman,Jman SVO,https://rocketleague.tracker.network/rocket-league/profile/epic/Jman%20svo/overview,B,Team XV,Y,Jman SVO,epic,48bfa2991e4a4e6dbba025966bfe89a2,,,
Coolnerdgames,coolnerdgames,https://rocketleague.tracker.network/rocket-league/profile/epic/CoolNerdGames/overview,B,High Stakes,Y,CoolnerdGames,steam,76561197980726409,,,
Maxipoo,Maxipuwu,https://rocketleague.tracker.network/rocket-league/profile/epic/maxipuwu/overview,B,How Do You Like Your Eggs?,Y, Maxipuwu,epic,b414a49ebf64483ca8fc87160ebc995c,,,
Safariballs,LilPutPut23,https://rocketleague.tracker.network/rocket-league/profile/epic/LilPutPut23/overview,B,Funke Monke,Y,LilPutPut23,epic,f864a0b0689047ba93060dea37e2dd4d,,,
nitratetv,Nitrate_TTV,https://rocketleague.tracker.network/rocket-league/profile/epic/nitrate_ttv/overview,B,The Cosmos,Y,Nitrate TV ,xbox,bf28490200000900,,,
AxO0899,AxO_Rat,https://rocketleague.tracker.network/rocket-league/profile/epic/AxO%20Rat/overview,B,The Cosmos,N,AxO Rat,epic,d49d52a06d8c424b99aad765707dc90d,,,
iambrownbread,d66f8ac4634b48bca8359c7454685d89,https://rocketleague.tracker.network/rocket-league/profile/epic/Heathen_Hamster/overview,B,High Stakes,Y, IAmBrownBread,epic,d66f8ac4634b48bca8359c7454685d89,,,
MFxWolfer 7,Captain Wolfer,https://rocketleague.tracker.network/rocket-league/profile/xbl/MFxWolfer%207/overview,B,FarmersOnly,Y, MFxWolfer7,epic,55fe271459394d41a0b2c1e787ec5816,Captain Wolfer,epic,d6409a6dd5c24f33afc33fe0c281682a
qFoal,qFoal,https://rocketleague.tracker.network/rocket-league/profile/epic/qFoal/overview,B,High Stakes,Y, qFoal,epic,77580cafd94f45f5860c152fdb3f132f,,,
Kliqz_,Kliqz_,https://rocketleague.tracker.network/rocket-league/profile/epic/kliqz_/overview,C,FarmersOnly,Y,Kliqz_,epic,ddb8c3f18f7349f59c581d72704e2abc,,,
Firestr2,LavenderLamps,https://rocketleague.tracker.network/rocket-league/profile/xbl/LavenderLamps/overview,C,The Cosmos,Y,LavenderLamps,xbox,cceda74cf7010900,,,
friendlyfennec,Friendly.Fennec,https://rocketleague.tracker.network/rocket-league/profile/epic/Friendly.Fennec/overview,B,Funke Monke,Y,FriendlyFennec,steam,76561198060066952,,,
Paasol,Paasol,https://rocketleague.tracker.network/rocket-league/profile/epic/Paasol/overview,C,How Do You Like Your Eggs?,Y,Sol,steam,76561198023322523,,,
Zoka8x,1osha_violation,https://rocketleague.tracker.network/rocket-league/profile/epic/1OSHA_violation/overview,C,The Cosmos,Y,Zoka,steam,76561198371816757,,,
Sony (Amadeus6949),Śony,https://rocketleague.tracker.network/rocket-league/profile/epic/%C5%9Aony/overview,C,Funke Monke,Y,Zony,epic,51752d1bb15b4641a760c025d16c3e06,,,
Deciding,Deciding My Fate,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198102060602/overview,C,How Do You Like Your Eggs?,Y,Deciding,steam,76561198102060602,,,
Dunion,TheRealDunion,https://rocketleague.tracker.network/rocket-league/profile/epic/therealdunion/overview,C,Team XV,Y,Dunion,steam,76561198044125394,,,
Infantryboyz09,Infantryboyz09,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198985957273/overview,C,Funke Monke,Y, Infant-Try-Boyz,steam,76561198985957273,,,
Rico,veteran_rico,https://rocketleague.tracker.network/rocket-league/profile/epic/veteran_rico/overview,C,High Stakes,Y,Rico,steam,76561197961383433,,,
korndoguwu,korndoguwu,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199037016192/overview,C,FarmersOnly,Y,korndoguwu,steam,76561199037016192,,,
xXTonyBolognaXx,xXTonyBolognaXx,https://rocketleague.tracker.network/rocket-league/profile/epic/xXTonyBolognaXx/overview,C,High Stakes,Y,xXTonyBolognaXx,epic,630a497421614b7091d540462c5f9887,,,
Nik0#4444,NikLaws,https://rocketleague.tracker.network/rocket-league/profile/epic/NikLaws/overview,C,Team XV,Y,NikLaws,epic,fa9d2bf4350143ab9923d818e7bb5e46,,,
beckyboo,beckyboo_WL,https://rocketleague.tracker.network/rocket-league/profile/epic/beckyboo_WL/overview,B,The Cosmos,Y, beckyboo ,steam,76561198353727856,,,
Alpha_762,Alpha_762,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198419582889/overview,C,Team XV,Y,Alpha_762,steam,76561198419582889,,,
may.yor,MayorRL,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198880201452/overview,C,Funke Monke,Y,mayor,steam,76561198880201452,,,
Loupyleroux,Loupy-96,https://rocketleague.tracker.network/rocket-league/profile/epic/Loupy-96/overview,C,The Cosmos,Y,Loupy-96,epic,541f6636eb724709a28ee9330c433290,,,
Kyyrbes,Kyyrbes,https://rocketleague.tracker.network/rocket-league/profile/epic/Kyyrbes/overview,C,High Stakes,Y,Kyyrbes,steam,76561198032866852,,,
1valin1,1valin1,https://rocketleague.tracker.network/rocket-league/profile/epic/1valin1/overview,C,How Do You Like Your Eggs?,Y,1VALIN1,epic,3d15e88551e04dbbb26982839904d85c,,,
Speer,SpeerSavage,https://rocketleague.tracker.network/rocket-league/profile/epic/SpeerSavage/overview,C,FarmersOnly,Y,SpeerSavage,epic,673c8b3a33f74e259c44b115811197d6,,,
E-419,E-419,https://rocketleague.tracker.network/rocket-league/profile/epic/E-419/overview,C,How Do You Like Your Eggs?,N,E-419,epic,10e5ecdec7b9491eb210a1da760ffbba,,,
tavlorjo,tavlorj,https://rocketleague.tracker.network/rocket-league/profile/epic/tavlorj/overview,C,FarmersOnly,Y, tavlorjo,xbox,c93b62eef3010900,tavlorj,epic,33a1614c0e72496480d7742459e1a28d
FelixTheCat#2561,Felixxxxm,https://rocketleague.tracker.network/rocket-league/profile/epic/Felixxxxm/overview,C,Team XV,Y, Felixxxxm,epic,8f9bad4ed6ab4930a24279601a843341,,,
.Reubenhood ,Reuben-hood,https://rocketleague.tracker.network/rocket-league/profile/epic/Reuben-Hood/overview,C,FarmersOnly,Y,Reuben-hood,epic,522b1c0598f54fda854b98de805de6eb,,,
TSB_HeroBear,TSB_HeroBear,https://rocketleague.tracker.network/rocket-league/profile/epic/TSB_Herobear/overview,C,High Stakes,N, TSB_Herobear,epic,ef77267dc1634ecd98229d56406360b9,,,
jim tinananim,jim tinananim,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198330721147/overview,C,The Cosmos,Y,Jim Tinananim,steam,76561198330721147,,,
Robmavo,Robmavo,,C,How Do You Like Your Eggs?,Y,Robmavo,epic,30634dfdbff4450b95215d9b309ec37c,,,
Kiriko, Kiriko_,,A,Team XV,Y, Kiriko_,epic,e189c1486e6f42c880e32075b3d1a93b,,,
Bubba,bubba_k_,,C,High Stakes,Y,bubba_k_,xbox,d9e866f4fd010900,,,
Wavy,Wavy33,,B,The Cosmos,Y,Wavy,steam,76561199087335332,,,
rob,rob,,Coach,The Cosmos,Y,rob,steam,76561199054741424,,,
Ba7s,ba7s,,Coach,Funke Monke,Y,make a wish bass,steam,76561198807499766,,,
paco,wheresyurpaco,,Coach,High Stakes,Y,paco,steam,76561198391810608,,,
Jonk,junkyjonk,,Coach,Team XV,Y,Jonk,steam,76561198333782272,,,
Othos,Othos,,Coach,FarmersOnly,Y,Othos,steam,76561198239409890,,,
Beansmode,Beansmode-,,Coach,How Do You Like Your Eggs?,Y,Beansmode-,epic,953d564d0a004b61924a3a8046e5e6ba,,,